dataset_id	modality	source_url	local_path	sha256	bytes	license	role	notes
10x_PBMC_3k_scRNA_2016_S3	scRNA-seq	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell/pbmc3k/pbmc3k_filtered_gene_bc_matrices.tar.gz	data/smoke/pbmc3k_real/pbmc3k_filtered_gene_bc_matrices.tar.gz	847d6ebd9a1ec9a768f2be7e40ca42cbfe75ebeb6d76a4c24167041699dc28b5	7621991	10xgenomics_terms_of_use	smoke	Downloaded for real public smoke run; extracted and converted into filtered_feature_bc_matrix/ for entrypoint tests. Terms: https://www.10xgenomics.com/legal/terms-of-use (accessed 2026-03-04).
10x_PBMC_10k_v3_scRNA_2018_S3	scRNA-seq	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/3.0.0/pbmc_10k_v3/pbmc_10k_v3_filtered_feature_bc_matrix.tar.gz	data/smoke/pbmc10k_v3_real/pbmc_10k_v3_filtered_feature_bc_matrix.tar.gz	060af9e4370c6ad877e2987cf8cdc63a6d5c84e57875580f2be6c8e90748cf63	94334700	10xgenomics_terms_of_use	benchmark	Downloaded for scRNA baseline/advanced benchmarks (10x v3 feature-barcode matrix). Terms: https://www.10xgenomics.com/legal/terms-of-use (accessed 2026-03-04).
10x_PBMC_10k_scRNA	scRNA-seq	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/3.0.0/pbmc_10k_v3/pbmc_10k_v3_filtered_feature_bc_matrix.tar.gz	data/smoke/pbmc10k_v3_real/pbmc_10k_v3_filtered_feature_bc_matrix.tar.gz	060af9e4370c6ad877e2987cf8cdc63a6d5c84e57875580f2be6c8e90748cf63	94334700	10xgenomics_terms_of_use	benchmark	Alias id used in docs/CLAIMS.tsv + docs/DATA_PLAN.md; points to the same PBMC 10k v3 tarball as 10x_PBMC_10k_v3_scRNA_2018_S3. Terms: https://www.10xgenomics.com/legal/terms-of-use (accessed 2026-03-04).
10x_PBMC3K_PBMC10K_V3_INTEGRATION_PAIR_S3	scRNA-seq	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell/pbmc3k/pbmc3k_filtered_gene_bc_matrices.tar.gz;https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/3.0.0/pbmc_10k_v3/pbmc_10k_v3_filtered_feature_bc_matrix.tar.gz	data/smoke/pbmc3k_real/pbmc3k_filtered_gene_bc_matrices.tar.gz;data/smoke/pbmc10k_v3_real/pbmc_10k_v3_filtered_feature_bc_matrix.tar.gz	847d6ebd9a1ec9a768f2be7e40ca42cbfe75ebeb6d76a4c24167041699dc28b5;060af9e4370c6ad877e2987cf8cdc63a6d5c84e57875580f2be6c8e90748cf63	7621991;94334700	10xgenomics_terms_of_use	benchmark	Multi-input integration pair for advanced runners: batch1=PBMC3k (v1 layout, converted); batch2=PBMC 10k v3 (v3 layout). Used for scVI/Harmony integration compares. Terms: https://www.10xgenomics.com/legal/terms-of-use (accessed 2026-03-04).
10x_Visium_Human_Lymph_Node_1p1_cf	Visium	https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Lymph_Node/V1_Human_Lymph_Node_filtered_feature_bc_matrix.tar.gz;https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Lymph_Node/V1_Human_Lymph_Node_spatial.tar.gz	data/smoke/visium_human_lymph_node_real/V1_Human_Lymph_Node_filtered_feature_bc_matrix.tar.gz;data/smoke/visium_human_lymph_node_real/V1_Human_Lymph_Node_spatial.tar.gz	93f7424de945eb886db17e5184d2112c77855bd54c330b2208a846870595e4e8;812808883366ff9623dc8354847a7211b0d922b2bfc4c9359d6e12e993ea6a73	85075087;8246238	10xgenomics_terms_of_use	benchmark	Canonical 10x Visium sample (human lymph node): filtered_feature_bc_matrix + spatial/ metadata; used for visium baseline smoke and cross-env reproducibility evidence. Terms: https://www.10xgenomics.com/legal/terms-of-use (accessed 2026-03-04).
Mouse_Brain_Visium_10x	Visium	https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Anterior/V1_Mouse_Brain_Sagittal_Anterior_filtered_feature_bc_matrix.h5;https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Anterior/V1_Mouse_Brain_Sagittal_Anterior_spatial.tar.gz	data/smoke/visium_mouse_brain_real/V1_Mouse_Brain_Sagittal_Anterior_filtered_feature_bc_matrix.h5;data/smoke/visium_mouse_brain_real/V1_Mouse_Brain_Sagittal_Anterior_spatial.tar.gz	56078d8d6fe6c13de248fdb1c518b691cdef78fb00021b659786b4a47c6656d5;5f41a803e2bd69fa4dfca6abc8fa2d4e0d76aeb6c72d7038a5fdcf9cc50a36f8	20554697;9233573	10xgenomics_terms_of_use	benchmark	Primary spatial anchor (mouse brain, sagittal anterior). Public 10x example ships counts as H5 + spatial.tar.gz; pipeline accepts H5 in place of filtered_feature_bc_matrix/. Terms: https://www.10xgenomics.com/legal/terms-of-use (accessed 2026-03-04).
Allen_Cortex_scRNA_SeuratV5_Reference_RDS	scRNA-seq	https://www.dropbox.com/s/cuowvm4vrf65pvq/allen_cortex.rds?dl=1	data/references/allen_cortex/allen_cortex.rds	ec0865259ae42ca2ffdbe4ecff7a975f4aa560c8ba7ffcd8319ce814609b6f27	1038315197	alleninstitute_terms_of_use_noncommercial	reference	Mouse brain tissue-matched scRNA reference distributed via Seurat spatial mapping vignette; underlying dataset described as Allen Institute adult mouse cortical taxonomy (SMART-Seq2; Tasic et al., Nat Neurosci 2016). Use `subclass` labels as the reference label set (exported to `reference_labels.tsv`). See Allen Institute Terms of Use for noncommercial reuse.
