claim_id	dataset_id	outcome	model	effect_type	effect	ci_lower	ci_upper	pvalue	fdr	n	notes
C1_repro_audit	multi_run_summary	repro_check_pass_rate	reproducibility_checks	proportion	1.000000	0.959063	1.000000			90	Wilson 95% CI over all reproducibility_checks rows with pass in {0,1}.
C2_expert_comparable	Mouse_Brain_Visium_10x	concordance_median_cosine_by_spot_rctd_vs_tangram	biological_output_concordance	median_iqr	0.364000	0.234000	0.495000			2695	pair=rctd_vs_tangram; RCTD vs Tangram spotwise cosine similarity across shared cell types (L1-normalized), median and IQR
C2_expert_comparable	Mouse_Brain_Visium_10x	concordance_median_cosine_by_spot_tangram_vs_cell2location	biological_output_concordance	median_iqr	0.633000	0.557000	0.689000			2695	pair=tangram_vs_cell2location; Tangram vs cell2location spotwise cosine similarity across shared cell types (L1-normalized), median and IQR
C2_expert_comparable	Mouse_Brain_Visium_10x	concordance_median_cosine_by_spot_rctd_vs_cell2location	biological_output_concordance	median_iqr	0.494000	0.421000	0.558000			2695	pair=rctd_vs_cell2location; RCTD vs cell2location spotwise cosine similarity across shared cell types (L1-normalized), median and IQR
C2_expert_comparable	10x_PBMC3K_PBMC10K_V3_INTEGRATION_PAIR_S3	concordance_ARI_baseline_vs_harmony	biological_output_concordance	mean	0.808285	0.803657	0.816802			7	Bootstrap 95% CI (row-level resampling); low n for some metrics.
C2_expert_comparable	10x_PBMC3K_PBMC10K_V3_INTEGRATION_PAIR_S3	concordance_ARI_scvi_vs_harmony	biological_output_concordance	mean	0.770899	0.764083	0.775374			7	Bootstrap 95% CI (row-level resampling); low n for some metrics.
C2_expert_comparable	10x_PBMC_10k_scRNA	concordance_NMI	biological_output_concordance	mean	0.837977	0.829787	0.841701			4	Bootstrap 95% CI (row-level resampling); low n for some metrics.
C2_expert_comparable	10x_PBMC_3k_scRNA_2016_S3	concordance_NMI	biological_output_concordance	mean	0.644957	0.640522	0.649584			15	Bootstrap 95% CI (row-level resampling); low n for some metrics.
C2_expert_comparable	Mouse_Brain_Visium_10x	concordance_mean_pearson_by_cell_type	biological_output_concordance	mean	0.061790	0.058141	0.068939			5	Bootstrap 95% CI (row-level resampling); low n for some metrics.
C2_expert_comparable	PBMC3K_PLUS_PBMC10K_INTEGRATION	concordance_ARI_baseline_vs_harmony	biological_output_concordance	mean	0.815499	0.802771	0.832334			4	Bootstrap 95% CI (row-level resampling); low n for some metrics.
C2_expert_comparable	PBMC3K_PLUS_PBMC10K_INTEGRATION	concordance_ARI_scvi_vs_harmony	biological_output_concordance	mean	0.765193	0.751381	0.775234			3	Bootstrap 95% CI (row-level resampling); low n for some metrics.
C3_ops_improvement	multi_run_summary	run_success_rate	runtime_cost_failure	proportion	0.842975	0.767733	0.897110			121	Wilson 95% CI over runtime_cost_failure rows with status in {ok,fail}; all runs.
